Call ID,Customer Complaint / Query,Agent Action,Outcome
CALL_001,Customer says order placed 10 days ago hasn't arrived; tracking shows it's stuck at warehouse.,"Agent apologises, raises urgent dispatch ticket, and promises delivery within 48 hours with a ?100 voucher.",Resolved
CALL_002,Customer received a damaged product — cracked screen on a tablet — and wants an immediate replacement.,"Agent logs a replacement request, schedules a reverse pickup for the next day, and confirms replacement dispatch.",Resolved
CALL_003,"Customer asks about EMI options for a ?45,000 laptop purchase using their bank debit card.",Agent explains that EMI is available only on select credit cards and suggests the customer visit the bank's app. Cannot process directly.,Unresolved
CALL_004,Customer was charged twice for the same order and wants the duplicate amount refunded urgently.,"Agent verifies the double-charge in the system, raises a refund ticket, and informs the customer it will reflect in 5–7 business days.",Resolved
CALL_005,Customer received a men's shirt instead of the women's kurta they ordered and is frustrated.,"Agent apologises, initiates a return, and places a fresh order for the correct item at no extra cost.",Resolved
CALL_006,Customer wants to cancel an order placed an hour ago as they found the product cheaper elsewhere.,Agent processes the cancellation immediately and confirms the refund will be issued to the original payment method.,Resolved
CALL_007,Customer asks how long the warranty lasts on an air conditioner and what it covers.,Agent provides partial warranty info (1 year standard) but is unsure about extended coverage; advises customer to check the brand website.,Unresolved
CALL_008,"Customer is upset that a promised same-day delivery did not happen, causing them to miss gifting it at an event.","Agent acknowledges the failure, escalates to the logistics team, and offers a full refund plus a ?200 gift card as compensation.",Escalated
CALL_009,Customer's account is locked after three failed login attempts and they cannot access their orders.,"Agent verifies identity via OTP, resets the account access, and walks the customer through logging in successfully.",Resolved
CALL_010,Customer asks whether a product listed as 'In Stock' can be delivered to a remote pin code in Arunachal Pradesh.,Agent checks the pin code serviceability tool; delivery is not available. Suggests the customer use a third-party courier address.,Unresolved
CALL_011,Customer received an empty box with no product inside and suspects tampering during delivery.,"Agent apologises, flags the case as high priority, escalates to the fraud and logistics team, and promises a resolution call within 24 hours.",Escalated
CALL_012,Customer wants to exchange a size M jacket for size L but the product page shows no exchange option.,"Agent manually raises an exchange request, confirms stock availability for size L, and schedules a pickup.",Resolved
CALL_013,Customer complains that a cashback offer shown at checkout was not applied to their final bill.,Agent reviews the order but cannot apply cashback retroactively; advises the customer to raise a written complaint via email for review.,Unresolved
CALL_014,Customer's prepaid order was cancelled by the system automatically without their request and they want to know why.,Agent investigates and finds a payment gateway timeout caused the auto-cancellation; helps re-place the order at the same price.,Resolved
CALL_015,Customer wants to know the return policy for perishable grocery items received in poor condition.,Agent informs that perishables have a 24-hour return window with photo proof; guides the customer to upload images via the app.,Resolved
CALL_016,Customer is calling for the third time about the same unresolved complaint regarding a faulty mixer grinder.,"Agent apologises for repeated follow-ups, escalates to a senior supervisor, and arranges a technician visit within 48 hours.",Escalated
CALL_017,Customer asks if they can use two discount coupons together on a single order during a sale event.,Agent checks the coupon policy — only one coupon is allowed per order. Explains the policy clearly but the customer remains dissatisfied.,Unresolved
CALL_018,Customer did not receive an invoice for a business purchase and needs it for GST filing.,"Agent retrieves the invoice from the system, re-sends it to the registered email, and confirms receipt during the call.",Resolved
CALL_019,Customer complains the product description on the website was misleading — the TV listed as 55 inches is actually 50 inches.,"Agent acknowledges the discrepancy, escalates to the catalogue team, and offers the customer a return or a ?500 adjustment.",Escalated
CALL_020,Customer asks about the status of a refund they were told would arrive in 7 days — it has been 12 days.,"Agent checks the refund status, finds it is still processing due to a bank delay, and provides the reference number for the customer to follow up with the bank.",Unresolved
